engine,sample_ms
baseline,170.549
baseline,96.245
baseline,88.436
baseline,95.431
baseline,93.416
baseline,95.119
baseline,107.819
baseline,97.524
baseline,93.804
baseline,95.710
baseline,97.248
baseline,90.235
baseline,94.795
baseline,97.044
baseline,93.329
baseline,95.040
baseline,97.226
baseline,97.159
baseline,94.008
baseline,97.212
baseline,94.173
baseline,98.651
baseline,91.769
baseline,90.357
baseline,95.563
baseline,93.026
baseline,97.578
baseline,91.852
baseline,98.648
baseline,90.751
baseline,95.168
baseline,94.479
baseline,95.006
baseline,95.793
baseline,96.391
baseline,93.552
baseline,97.040
baseline,98.931
baseline,91.614
baseline,106.643
baseline,92.403
baseline,93.730
baseline,90.460
baseline,94.838
baseline,94.772
baseline,91.875
baseline,90.243
baseline,97.471
baseline,90.743
baseline,89.488
baseline,98.016
baseline,97.743
baseline,91.374
baseline,90.265
baseline,95.552
baseline,98.198
baseline,98.277
baseline,90.123
baseline,90.049
baseline,94.021
baseline,91.657
baseline,97.893
baseline,94.683
baseline,96.571
baseline,95.926
baseline,89.621
baseline,96.457
baseline,92.714
baseline,98.427
baseline,96.635
baseline,99.202
baseline,92.937
baseline,94.229
baseline,88.980
baseline,90.367
baseline,89.670
baseline,94.706
baseline,94.222
baseline,95.819
baseline,92.417
baseline,97.484
baseline,92.093
baseline,162.854
baseline,93.232
baseline,98.053
baseline,90.816
baseline,210.393
baseline,91.995
baseline,105.267
baseline,104.341
baseline,95.133
baseline,89.879
baseline,93.916
baseline,93.052
baseline,97.001
baseline,101.447
baseline,101.286
baseline,92.701
baseline,94.116
baseline,93.805
