engine,sample_ms
gatekeeper,114.884
gatekeeper,114.250
gatekeeper,122.128
gatekeeper,101.684
gatekeeper,112.426
gatekeeper,103.028
gatekeeper,105.538
gatekeeper,113.384
gatekeeper,108.187
gatekeeper,107.869
gatekeeper,110.429
gatekeeper,107.042
gatekeeper,108.861
gatekeeper,107.849
gatekeeper,102.172
gatekeeper,101.225
gatekeeper,131.105
gatekeeper,107.014
gatekeeper,111.744
gatekeeper,106.720
gatekeeper,108.516
gatekeeper,107.115
gatekeeper,121.677
gatekeeper,174.148
gatekeeper,214.253
gatekeeper,107.890
gatekeeper,159.715
gatekeeper,157.421
gatekeeper,144.770
gatekeeper,166.520
gatekeeper,129.677
gatekeeper,125.353
gatekeeper,128.210
gatekeeper,117.229
gatekeeper,102.424
gatekeeper,107.558
gatekeeper,106.044
gatekeeper,109.305
gatekeeper,106.523
gatekeeper,201.388
gatekeeper,171.211
gatekeeper,114.051
gatekeeper,108.974
gatekeeper,121.788
gatekeeper,110.439
gatekeeper,107.955
gatekeeper,106.252
gatekeeper,103.728
gatekeeper,109.725
gatekeeper,110.691
gatekeeper,122.974
gatekeeper,103.186
gatekeeper,117.607
gatekeeper,102.179
gatekeeper,118.818
gatekeeper,104.200
gatekeeper,96.197
gatekeeper,117.058
gatekeeper,105.808
gatekeeper,105.912
gatekeeper,104.439
gatekeeper,110.614
gatekeeper,110.390
gatekeeper,117.707
gatekeeper,104.699
gatekeeper,168.399
gatekeeper,102.486
gatekeeper,105.172
gatekeeper,102.657
gatekeeper,105.279
gatekeeper,106.805
gatekeeper,102.262
gatekeeper,115.503
gatekeeper,112.282
gatekeeper,105.918
gatekeeper,99.419
gatekeeper,104.123
gatekeeper,103.670
gatekeeper,119.268
gatekeeper,103.906
gatekeeper,116.441
gatekeeper,142.154
gatekeeper,146.959
gatekeeper,208.432
gatekeeper,110.557
gatekeeper,122.084
gatekeeper,116.429
gatekeeper,102.012
gatekeeper,102.198
gatekeeper,101.297
gatekeeper,102.521
gatekeeper,115.329
gatekeeper,106.149
gatekeeper,109.958
gatekeeper,111.304
gatekeeper,105.059
gatekeeper,106.806
gatekeeper,110.950
gatekeeper,97.204
gatekeeper,106.940
