engine,sample_ms
kyverno,108.270
kyverno,132.189
kyverno,135.423
kyverno,133.686
kyverno,132.720
kyverno,144.138
kyverno,108.364
kyverno,136.524
kyverno,122.762
kyverno,141.253
kyverno,158.668
kyverno,121.705
kyverno,128.168
kyverno,107.282
kyverno,114.475
kyverno,120.140
kyverno,108.592
kyverno,120.219
kyverno,103.800
kyverno,102.491
kyverno,104.842
kyverno,106.464
kyverno,103.490
kyverno,104.710
kyverno,103.048
kyverno,100.972
kyverno,103.489
kyverno,102.686
kyverno,104.134
kyverno,116.920
kyverno,102.761
kyverno,114.934
kyverno,108.141
kyverno,100.488
kyverno,115.010
kyverno,113.122
kyverno,103.426
kyverno,101.869
kyverno,104.341
kyverno,107.244
kyverno,101.515
kyverno,106.205
kyverno,104.106
kyverno,97.589
kyverno,107.311
kyverno,95.417
kyverno,102.478
kyverno,102.428
kyverno,104.393
kyverno,101.844
kyverno,95.751
kyverno,102.522
kyverno,103.426
kyverno,103.549
kyverno,103.202
kyverno,103.954
kyverno,100.071
kyverno,104.334
kyverno,104.175
kyverno,104.145
kyverno,105.173
kyverno,105.715
kyverno,106.340
kyverno,99.259
kyverno,99.375
kyverno,103.198
kyverno,103.622
kyverno,111.611
kyverno,101.033
kyverno,99.906
kyverno,99.594
kyverno,103.846
kyverno,104.011
kyverno,101.865
kyverno,100.088
kyverno,99.235
kyverno,99.190
kyverno,103.191
kyverno,101.591
kyverno,108.788
kyverno,104.539
kyverno,111.747
kyverno,98.465
kyverno,118.563
kyverno,124.677
kyverno,105.064
kyverno,107.992
kyverno,105.560
kyverno,108.518
kyverno,97.170
kyverno,103.682
kyverno,103.279
kyverno,102.087
kyverno,98.827
kyverno,111.652
kyverno,103.678
kyverno,100.654
kyverno,104.039
kyverno,104.734
kyverno,105.446
