engine,sample_ms
vap,98.095
vap,92.786
vap,121.367
vap,93.687
vap,99.971
vap,98.861
vap,98.676
vap,97.432
vap,95.677
vap,95.440
vap,94.669
vap,93.929
vap,94.847
vap,98.279
vap,99.442
vap,98.911
vap,98.891
vap,108.829
vap,90.813
vap,100.389
vap,101.047
vap,93.318
vap,101.427
vap,95.419
vap,97.258
vap,95.743
vap,93.112
vap,95.809
vap,110.510
vap,95.810
vap,94.631
vap,92.565
vap,98.260
vap,97.235
vap,98.244
vap,100.781
vap,91.010
vap,96.733
vap,98.556
vap,98.148
vap,97.349
vap,99.410
vap,97.681
vap,100.258
vap,95.243
vap,97.236
vap,95.221
vap,95.973
vap,98.693
vap,99.046
vap,103.438
vap,98.826
vap,96.673
vap,108.122
vap,98.720
vap,99.181
vap,94.491
vap,126.246
vap,97.802
vap,94.027
vap,99.761
vap,107.133
vap,101.472
vap,102.772
vap,92.720
vap,93.653
vap,99.864
vap,100.371
vap,92.567
vap,106.853
vap,103.816
vap,101.423
vap,100.439
vap,98.084
vap,97.264
vap,103.919
vap,100.576
vap,99.390
vap,98.551
vap,94.324
vap,103.825
vap,102.191
vap,94.351
vap,94.921
vap,96.374
vap,95.592
vap,129.604
vap,94.152
vap,98.099
vap,101.926
vap,100.432
vap,90.887
vap,93.754
vap,97.263
vap,96.290
vap,95.240
vap,93.156
vap,100.444
vap,98.021
vap,100.594
