engine,rule,expected,actual,ok,msg
baseline,GOOD,admit,admit,True,
baseline,GOOD-SVC,admit,admit,True,
baseline,R01,admit,admit,True,
baseline,R02,admit,admit,True,
baseline,R03,admit,admit,True,
baseline,R04,admit,admit,True,
baseline,R05,admit,admit,True,
baseline,R06,admit,admit,True,
baseline,R07,admit,admit,True,
baseline,R08,admit,admit,True,
baseline,R09,admit,admit,True,
baseline,R10,admit,admit,True,
baseline,R11,admit,admit,True,
baseline,R12,admit,admit,True,
baseline,R13,admit,admit,True,
baseline,R14,admit,admit,True,
baseline,R15,admit,admit,True,
