engine,rule,expected,actual,ok,msg
vap,GOOD,admit,admit,True,
vap,GOOD-SVC,admit,admit,True,
vap,R01,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r01\"" is forbidden: ValidatingAdmissionPolicy 'r06-disallow-privilege-escalation' with binding 'r06-disallow-p"
vap,R02,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r02\"" is forbidden: ValidatingAdmissionPolicy 'r02-disallow-host-network' with binding 'r02-disallow-host-netw"
vap,R03,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r03\"" is forbidden: ValidatingAdmissionPolicy 'r03-disallow-host-pid-ipc' with binding 'r03-disallow-host-pid-"
vap,R04,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r04\"" is forbidden: ValidatingAdmissionPolicy 'r04-disallow-hostpath' with binding 'r04-disallow-hostpath' den"
vap,R05,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r05\"" is forbidden: ValidatingAdmissionPolicy 'r05-require-run-as-nonroot' with binding 'r05-require-run-as-no"
vap,R06,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r06\"" is forbidden: ValidatingAdmissionPolicy 'r06-disallow-privilege-escalation' with binding 'r06-disallow-p"
vap,R07,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r07\"" is forbidden: ValidatingAdmissionPolicy 'r07-drop-all-capabilities' with binding 'r07-drop-all-capabilit"
vap,R08,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r08\"" is forbidden: ValidatingAdmissionPolicy 'r08-disallow-latest-tag' with binding 'r08-disallow-latest-tag'"
vap,R09,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r09\"" is forbidden: ValidatingAdmissionPolicy 'r09-require-resource-limits' with binding 'r09-require-resource"
vap,R10,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r10\"" is forbidden: ValidatingAdmissionPolicy 'r10-allowed-registries' with binding 'r10-allowed-registries' d"
vap,R11,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r11\"" is forbidden: ValidatingAdmissionPolicy 'r11-require-app-label' with binding 'r11-require-app-label' den"
vap,R12,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""services \""bad-r12\"" is forbidden: ValidatingAdmissionPolicy 'r12-disallow-nodeport' with binding 'r12-disallow-nodeport'"
vap,R13,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r13\"" is forbidden: ValidatingAdmissionPolicy 'r13-require-readonly-rootfs' with binding 'r13-require-readonly"
vap,R14,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r14\"" is forbidden: ValidatingAdmissionPolicy 'r14-disallow-default-sa-automount' with binding 'r14-disallow-d"
vap,R15,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""pods \""bad-r15\"" is forbidden: ValidatingAdmissionPolicy 'r15-require-seccomp' with binding 'r15-require-seccomp' denied "
