engine,sample_ms
baseline,8.368
baseline,8.382
baseline,8.760
baseline,12.439
baseline,7.550
baseline,7.060
baseline,7.207
baseline,7.595
baseline,8.003
baseline,7.090
baseline,6.962
baseline,7.174
baseline,7.752
baseline,7.119
baseline,8.104
baseline,8.721
baseline,8.578
baseline,7.187
baseline,7.940
baseline,7.404
baseline,6.613
baseline,7.223
baseline,6.833
baseline,8.451
baseline,7.726
baseline,8.071
baseline,7.199
baseline,6.714
baseline,8.248
baseline,7.920
baseline,8.389
baseline,6.855
baseline,7.315
baseline,86.483
baseline,10.892
baseline,8.466
baseline,8.755
baseline,13.008
baseline,7.113
baseline,7.487
baseline,7.227
baseline,7.272
baseline,7.803
baseline,7.310
baseline,7.298
baseline,7.452
baseline,7.077
baseline,8.041
baseline,7.498
baseline,8.400
baseline,7.541
baseline,8.267
baseline,7.682
baseline,7.895
baseline,8.132
baseline,7.461
baseline,7.420
baseline,7.619
baseline,8.896
baseline,8.410
baseline,7.333
baseline,6.802
baseline,7.043
baseline,6.410
baseline,6.580
baseline,7.301
baseline,6.845
baseline,7.607
baseline,6.653
baseline,7.215
baseline,7.616
baseline,7.916
baseline,7.418
baseline,7.136
baseline,7.133
baseline,7.902
baseline,8.626
baseline,9.171
baseline,7.366
baseline,10.455
baseline,12.808
baseline,7.727
baseline,7.137
baseline,7.852
baseline,7.683
baseline,7.768
baseline,7.011
baseline,7.148
baseline,6.881
baseline,8.438
baseline,7.468
baseline,7.230
baseline,6.525
baseline,6.573
baseline,7.103
baseline,6.772
baseline,7.710
baseline,6.646
baseline,7.359
baseline,7.147
