engine,sample_ms
gatekeeper,16.258
gatekeeper,20.267
gatekeeper,17.379
gatekeeper,17.197
gatekeeper,16.911
gatekeeper,17.920
gatekeeper,17.958
gatekeeper,17.152
gatekeeper,18.376
gatekeeper,16.310
gatekeeper,15.925
gatekeeper,16.620
gatekeeper,16.382
gatekeeper,20.179
gatekeeper,16.546
gatekeeper,17.743
gatekeeper,16.795
gatekeeper,17.367
gatekeeper,16.688
gatekeeper,16.881
gatekeeper,16.563
gatekeeper,17.284
gatekeeper,15.967
gatekeeper,17.219
gatekeeper,16.869
gatekeeper,19.323
gatekeeper,17.637
gatekeeper,16.728
gatekeeper,17.124
gatekeeper,16.772
gatekeeper,18.876
gatekeeper,18.219
gatekeeper,17.828
gatekeeper,16.336
gatekeeper,18.458
gatekeeper,16.386
gatekeeper,18.476
gatekeeper,18.450
gatekeeper,19.446
gatekeeper,18.642
gatekeeper,18.125
gatekeeper,16.994
gatekeeper,19.134
gatekeeper,17.895
gatekeeper,16.576
gatekeeper,19.698
gatekeeper,18.180
gatekeeper,17.437
gatekeeper,17.302
gatekeeper,16.902
gatekeeper,22.892
gatekeeper,17.477
gatekeeper,18.216
gatekeeper,18.503
gatekeeper,17.406
gatekeeper,17.389
gatekeeper,17.458
gatekeeper,16.659
gatekeeper,16.317
gatekeeper,61.286
gatekeeper,16.378
gatekeeper,18.623
gatekeeper,19.159
gatekeeper,17.343
gatekeeper,16.488
gatekeeper,17.302
gatekeeper,16.122
gatekeeper,17.276
gatekeeper,18.754
gatekeeper,16.685
gatekeeper,17.166
gatekeeper,18.071
gatekeeper,17.293
gatekeeper,16.785
gatekeeper,18.529
gatekeeper,23.447
gatekeeper,16.248
gatekeeper,16.773
gatekeeper,15.928
gatekeeper,16.517
gatekeeper,16.174
gatekeeper,15.859
gatekeeper,16.386
gatekeeper,16.758
gatekeeper,16.694
gatekeeper,15.838
gatekeeper,36.965
gatekeeper,17.297
gatekeeper,17.143
gatekeeper,17.205
gatekeeper,16.656
gatekeeper,16.684
gatekeeper,15.410
gatekeeper,17.227
gatekeeper,16.012
gatekeeper,16.638
gatekeeper,15.765
gatekeeper,18.063
gatekeeper,20.981
gatekeeper,16.177
