engine,sample_ms
kyverno,15.340
kyverno,17.335
kyverno,18.439
kyverno,16.619
kyverno,17.981
kyverno,16.249
kyverno,15.400
kyverno,15.998
kyverno,17.537
kyverno,16.699
kyverno,14.235
kyverno,15.239
kyverno,14.712
kyverno,14.506
kyverno,15.797
kyverno,13.937
kyverno,14.338
kyverno,17.881
kyverno,13.501
kyverno,14.443
kyverno,16.889
kyverno,15.649
kyverno,17.841
kyverno,16.186
kyverno,16.217
kyverno,14.412
kyverno,15.168
kyverno,13.529
kyverno,14.781
kyverno,16.620
kyverno,17.050
kyverno,17.124
kyverno,16.025
kyverno,16.554
kyverno,17.538
kyverno,19.862
kyverno,14.935
kyverno,14.508
kyverno,18.071
kyverno,15.057
kyverno,15.348
kyverno,14.909
kyverno,17.362
kyverno,14.079
kyverno,13.170
kyverno,14.996
kyverno,13.932
kyverno,13.873
kyverno,12.814
kyverno,14.461
kyverno,13.260
kyverno,12.884
kyverno,13.263
kyverno,13.440
kyverno,17.014
kyverno,14.222
kyverno,13.424
kyverno,16.692
kyverno,13.509
kyverno,17.699
kyverno,21.690
kyverno,16.625
kyverno,14.503
kyverno,13.839
kyverno,16.708
kyverno,14.791
kyverno,15.520
kyverno,15.171
kyverno,13.515
kyverno,57.977
kyverno,14.998
kyverno,13.974
kyverno,16.646
kyverno,17.302
kyverno,14.518
kyverno,15.813
kyverno,14.888
kyverno,16.095
kyverno,15.051
kyverno,29.334
kyverno,28.884
kyverno,15.760
kyverno,14.930
kyverno,14.840
kyverno,15.986
kyverno,14.808
kyverno,14.118
kyverno,14.908
kyverno,14.574
kyverno,13.550
kyverno,14.910
kyverno,18.142
kyverno,17.938
kyverno,16.854
kyverno,15.291
kyverno,16.479
kyverno,16.211
kyverno,16.004
kyverno,15.937
kyverno,14.458
