engine,n_policies,run,sample_ms
kyverno,0,1,6.958
kyverno,0,1,6.525
kyverno,0,1,5.919
kyverno,0,1,5.985
kyverno,0,1,5.235
kyverno,0,1,6.099
kyverno,0,1,5.657
kyverno,0,1,5.274
kyverno,0,1,5.595
kyverno,0,1,5.414
kyverno,0,1,5.055
kyverno,0,1,5.443
kyverno,0,1,5.088
kyverno,0,1,29.996
kyverno,0,1,6.443
kyverno,0,1,4.937
kyverno,0,1,4.837
kyverno,0,1,4.822
kyverno,0,1,5.680
kyverno,0,1,7.891
kyverno,0,1,6.520
kyverno,0,1,4.916
kyverno,0,1,5.994
kyverno,0,1,5.913
kyverno,0,1,4.958
kyverno,0,1,5.329
kyverno,0,1,4.941
kyverno,0,1,5.153
kyverno,0,1,6.121
kyverno,0,1,5.567
kyverno,0,1,5.244
kyverno,0,1,5.377
kyverno,0,1,5.642
kyverno,0,1,4.692
kyverno,0,1,5.519
kyverno,0,1,79.359
kyverno,0,1,7.087
kyverno,0,1,5.122
kyverno,0,1,5.368
kyverno,0,1,5.116
kyverno,0,1,5.365
kyverno,0,1,5.034
kyverno,0,1,5.305
kyverno,0,1,5.516
kyverno,0,1,5.474
kyverno,0,1,5.181
kyverno,0,1,5.654
kyverno,0,1,5.060
kyverno,0,1,5.235
kyverno,0,1,5.411
kyverno,0,1,5.867
kyverno,0,1,5.882
kyverno,0,1,6.859
kyverno,0,1,6.363
kyverno,0,1,6.423
kyverno,0,1,5.550
kyverno,0,1,6.776
kyverno,0,1,7.721
kyverno,0,1,5.509
kyverno,0,1,5.998
kyverno,0,1,6.567
kyverno,0,1,6.310
kyverno,0,1,5.299
kyverno,0,1,5.104
kyverno,0,1,5.551
kyverno,0,1,5.921
kyverno,0,1,5.882
kyverno,0,1,6.296
kyverno,0,1,5.298
kyverno,0,1,5.806
kyverno,0,1,5.992
kyverno,0,1,5.234
kyverno,0,1,5.970
kyverno,0,1,5.696
kyverno,0,1,6.528
kyverno,0,1,6.814
kyverno,0,1,7.172
kyverno,0,1,6.553
kyverno,0,1,6.267
kyverno,0,1,6.115
kyverno,0,1,6.078
kyverno,0,1,5.897
kyverno,0,1,6.653
kyverno,0,1,5.872
kyverno,0,1,6.379
kyverno,0,1,6.793
kyverno,0,1,6.720
kyverno,0,1,5.981
kyverno,0,1,6.487
kyverno,0,1,8.311
kyverno,0,1,6.783
kyverno,0,1,6.656
kyverno,0,1,5.800
kyverno,0,1,5.678
kyverno,0,1,6.046
kyverno,0,1,5.300
kyverno,0,1,5.673
kyverno,0,1,5.403
kyverno,0,1,5.025
kyverno,0,1,5.784
kyverno,5,1,12.826
kyverno,5,1,12.446
kyverno,5,1,12.019
kyverno,5,1,11.419
kyverno,5,1,11.245
kyverno,5,1,12.690
kyverno,5,1,11.309
kyverno,5,1,10.066
kyverno,5,1,10.213
kyverno,5,1,10.977
kyverno,5,1,10.025
kyverno,5,1,10.474
kyverno,5,1,9.735
kyverno,5,1,10.699
kyverno,5,1,10.479
kyverno,5,1,10.643
kyverno,5,1,10.768
kyverno,5,1,10.887
kyverno,5,1,10.265
kyverno,5,1,11.496
kyverno,5,1,10.633
kyverno,5,1,10.941
kyverno,5,1,10.829
kyverno,5,1,12.206
kyverno,5,1,11.071
kyverno,5,1,10.720
kyverno,5,1,10.964
kyverno,5,1,13.449
kyverno,5,1,10.685
kyverno,5,1,10.136
kyverno,5,1,11.053
kyverno,5,1,9.886
kyverno,5,1,10.815
kyverno,5,1,10.334
kyverno,5,1,9.938
kyverno,5,1,11.971
kyverno,5,1,12.145
kyverno,5,1,10.112
kyverno,5,1,9.992
kyverno,5,1,9.573
kyverno,5,1,28.501
kyverno,5,1,14.163
kyverno,5,1,13.004
kyverno,5,1,14.210
kyverno,5,1,15.578
kyverno,5,1,11.788
kyverno,5,1,11.374
kyverno,5,1,10.643
kyverno,5,1,9.782
kyverno,5,1,10.941
kyverno,5,1,10.934
kyverno,5,1,80.540
kyverno,5,1,10.016
kyverno,5,1,10.250
kyverno,5,1,10.342
kyverno,5,1,10.545
kyverno,5,1,10.728
kyverno,5,1,9.940
kyverno,5,1,9.277
kyverno,5,1,9.389
kyverno,5,1,10.397
kyverno,5,1,9.984
kyverno,5,1,10.167
kyverno,5,1,10.185
kyverno,5,1,9.992
kyverno,5,1,9.860
kyverno,5,1,10.446
kyverno,5,1,83.349
kyverno,5,1,15.837
kyverno,5,1,12.886
kyverno,5,1,10.703
kyverno,5,1,14.112
kyverno,5,1,12.191
kyverno,5,1,13.192
kyverno,5,1,13.268
kyverno,5,1,13.258
kyverno,5,1,13.071
kyverno,5,1,13.382
kyverno,5,1,10.527
kyverno,5,1,11.479
kyverno,5,1,12.392
kyverno,5,1,10.141
kyverno,5,1,10.395
kyverno,5,1,10.032
kyverno,5,1,11.112
kyverno,5,1,9.872
kyverno,5,1,11.240
kyverno,5,1,11.158
kyverno,5,1,10.731
kyverno,5,1,10.156
kyverno,5,1,9.714
kyverno,5,1,10.374
kyverno,5,1,10.454
kyverno,5,1,9.992
kyverno,5,1,10.233
kyverno,5,1,9.263
kyverno,5,1,80.836
kyverno,5,1,10.077
kyverno,5,1,10.281
kyverno,5,1,13.688
kyverno,10,1,11.690
kyverno,10,1,11.407
