engine,sample_ms
vap,12.728
vap,13.281
vap,14.004
vap,12.864
vap,12.711
vap,12.674
vap,11.821
vap,12.121
vap,12.139
vap,12.406
vap,11.985
vap,12.380
vap,12.991
vap,32.251
vap,18.699
vap,17.846
vap,18.904
vap,14.120
vap,18.489
vap,13.208
vap,12.790
vap,12.676
vap,11.895
vap,12.462
vap,12.215
vap,13.282
vap,12.055
vap,11.805
vap,12.108
vap,12.043
vap,12.373
vap,11.792
vap,12.265
vap,65.896
vap,11.724
vap,12.912
vap,11.715
vap,12.800
vap,12.887
vap,13.225
vap,12.327
vap,12.153
vap,13.463
vap,17.824
vap,14.360
vap,13.667
vap,14.882
vap,15.503
vap,25.114
vap,12.760
vap,12.154
vap,13.196
vap,12.423
vap,12.268
vap,12.535
vap,12.162
vap,12.695
vap,12.549
vap,14.398
vap,13.653
vap,13.578
vap,12.243
vap,12.105
vap,13.756
vap,14.084
vap,12.386
vap,12.645
vap,12.437
vap,13.540
vap,13.520
vap,12.883
vap,12.383
vap,12.063
vap,13.112
vap,15.032
vap,13.928
vap,12.985
vap,12.035
vap,12.570
vap,13.009
vap,13.451
vap,15.583
vap,13.020
vap,14.462
vap,15.093
vap,15.750
vap,13.745
vap,11.631
vap,12.897
vap,12.718
vap,13.196
vap,11.960
vap,13.449
vap,12.269
vap,12.553
vap,13.915
vap,13.701
vap,12.773
vap,11.190
vap,12.636
