engine,rule,expected,actual,ok,msg
gatekeeper,GOOD,admit,admit,True,
gatekeeper,GOOD-SVC,admit,admit,True,
gatekeeper,R01,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r01] R01: privileged container app\n[r06] R06: allowP"
gatekeeper,R02,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r02] R02: hostNetwork is not allowed"",""reason"":""Forbi"
gatekeeper,R03,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r03] R03: hostPID is not allowed"",""reason"":""Forbidden"
gatekeeper,R04,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r04] R04: hostPath volume h"",""reason"":""Forbidden"",""co"
gatekeeper,R05,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r05] R05: runAsNonRoot must be true"",""reason"":""Forbid"
gatekeeper,R06,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r06] R06: allowPrivilegeEscalation must be false on a"
gatekeeper,R07,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r07] R07: container app must drop ALL capabilities"","""
gatekeeper,R08,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r08] R08: image docker.io/library/nginx:latest uses l"
gatekeeper,R09,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r09] R09: container app missing limits {\""cpu\"", \""me"
gatekeeper,R10,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r10] R10: image ghcr.io/evil/nginx:1.27 not from allo"
gatekeeper,R11,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r11] R11: label app.kubernetes.io/name is required"","""
gatekeeper,R12,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r12] R12: NodePort services are not allowed"",""reason"""
gatekeeper,R13,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r13] R13: readOnlyRootFilesystem must be true on app"""
gatekeeper,R14,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r14] R14: default SA token automount must be disabled"
gatekeeper,R15,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validation.gatekeeper.sh\"" denied the request: [r15] R15: seccompProfile.type=RuntimeDefault required"
