engine,rule,expected,actual,ok,msg
kyverno,GOOD,admit,admit,True,
kyverno,GOOD-SVC,admit,admit,True,
kyverno,R01,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r01 was blocked due to the"
kyverno,R02,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r02 was blocked due to the"
kyverno,R03,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r03 was blocked due to the"
kyverno,R04,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r04 was blocked due to the"
kyverno,R05,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r05 was blocked due to the"
kyverno,R06,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r06 was blocked due to the"
kyverno,R07,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r07 was blocked due to the"
kyverno,R08,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r08 was blocked due to the"
kyverno,R09,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r09 was blocked due to the"
kyverno,R10,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r10 was blocked due to the"
kyverno,R11,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r11 was blocked due to the"
kyverno,R12,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Service/bench/bad-r12 was blocked due to"
kyverno,R13,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r13 was blocked due to the"
kyverno,R14,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r14 was blocked due to the"
kyverno,R15,deny,deny,True,"{""kind"":""Status"",""apiVersion"":""v1"",""metadata"":{},""status"":""Failure"",""message"":""admission webhook \""validate.kyverno.svc-fail\"" denied the request: \n\nresource Pod/bench/bad-r15 was blocked due to the"
